algorithm,n,time_ns,comparisons,allocations,partitions
Select(MoM5),100,20500,422,0,12
Select(MoM5),100,22500,446,0,13
Select(MoM5),100,22000,367,0,10
Select(MoM5),100,24400,445,0,13
Select(MoM5),100,22200,448,0,13
Select(MoM5),100,19600,455,0,12
Select(MoM5),100,24100,447,0,13
Select(MoM5),100,28900,425,0,11
Select(MoM5),100,35100,467,0,13
Select(MoM5),100,32500,459,0,13
Select(MoM5),100,12600,481,0,14
Select(MoM5),100,15300,424,0,11
Select(MoM5),100,11000,420,0,11
Select(MoM5),100,12300,462,0,13
Select(MoM5),100,15800,425,0,11
Select(MoM5),100,16900,409,0,10
Select(MoM5),100,13400,452,0,12
Select(MoM5),100,14200,444,0,13
Select(MoM5),100,14000,433,0,11
Select(MoM5),100,17100,474,0,14
Select(MoM5),100,7200,322,0,7
Select(MoM5),100,15400,461,0,13
Select(MoM5),100,21000,425,0,11
Select(MoM5),100,14600,445,0,12
Select(MoM5),100,16300,466,0,13
Select(MoM5),100,14500,433,0,12
Select(MoM5),100,14700,455,0,14
Select(MoM5),100,13400,414,0,11
Select(MoM5),100,58700,441,0,12
Select(MoM5),100,7300,417,0,11
Select(MoM5),100,8700,428,0,12
Select(MoM5),100,8100,432,0,12
Select(MoM5),100,7700,399,0,10
Select(MoM5),100,9700,452,0,13
Select(MoM5),100,10300,352,0,9
Select(MoM5),100,8700,429,0,12
Select(MoM5),100,8100,413,0,11
Select(MoM5),100,7600,446,0,12
Select(MoM5),100,8000,415,0,11
Select(MoM5),100,9200,481,0,14
Select(MoM5),100,9300,426,0,11
Select(MoM5),100,9100,468,0,13
Select(MoM5),100,9200,418,0,11
Select(MoM5),100,9100,430,0,12
Select(MoM5),100,10000,457,0,14
Select(MoM5),100,9400,477,0,14
Select(MoM5),100,8000,400,0,11
Select(MoM5),100,8700,425,0,11
Select(MoM5),100,7600,414,0,10
Select(MoM5),100,8000,464,0,14
Select(MoM5),100,8900,464,0,13
Select(MoM5),100,7900,452,0,13
Select(MoM5),100,10100,439,0,12
Select(MoM5),100,7800,416,0,11
Select(MoM5),100,122500,465,0,14
Select(MoM5),100,23700,450,0,13
Select(MoM5),100,21700,448,0,13
Select(MoM5),100,23200,429,0,12
Select(MoM5),100,41500,469,0,13
Select(MoM5),100,24600,425,0,11
Select(MoM5),100,30700,442,0,13
Select(MoM5),100,21000,418,0,11
Select(MoM5),100,21100,471,0,14
Select(MoM5),100,21400,412,0,11
Select(MoM5),100,24300,442,0,12
Select(MoM5),100,21100,456,0,13
Select(MoM5),100,12600,420,0,11
Select(MoM5),100,17300,439,0,12
Select(MoM5),100,20400,451,0,12
Select(MoM5),1000,259700,5812,0,57
Select(MoM5),1000,247700,5666,0,58
Select(MoM5),1000,249000,5870,0,59
Select(MoM5),1000,233300,5614,0,56
Select(MoM5),1000,226300,5436,0,51
Select(MoM5),1000,213000,5736,0,56
Select(MoM5),1000,186900,5704,0,58
Select(MoM5),1000,227800,5591,0,55
Select(MoM5),1000,240600,5752,0,59
Select(MoM5),1000,169500,5539,0,55
Select(MoM5),1000,165000,5774,0,58
Select(MoM5),1000,215300,5740,0,58
Select(MoM5),1000,151700,5633,0,54
Select(MoM5),1000,183700,5651,0,56
Select(MoM5),1000,204900,5762,0,58
Select(MoM5),1000,199000,5528,0,53
Select(MoM5),1000,243800,5700,0,59
Select(MoM5),1000,244200,5768,0,57
Select(MoM5),1000,256900,5733,0,58
Select(MoM5),1000,244300,5573,0,53
Select(MoM5),1000,351400,5521,0,53
Select(MoM5),1000,280700,5616,0,53
Select(MoM5),1000,176100,5622,0,55
Select(MoM5),1000,209500,5750,0,58
Select(MoM5),1000,77400,5623,0,57
Select(MoM5),1000,82500,5671,0,57
Select(MoM5),1000,70200,5674,0,56
Select(MoM5),1000,80100,5613,0,54
Select(MoM5),1000,75200,5799,0,59
Select(MoM5),1000,84900,5431,0,52
Select(MoM5),1000,64000,5741,0,58
Select(MoM5),1000,56700,5415,0,49
Select(MoM5),1000,66000,5715,0,59
Select(MoM5),1000,51400,5753,0,54
Select(MoM5),1000,48400,5709,0,54
Select(MoM5),1000,54000,5631,0,56
Select(MoM5),1000,61400,5702,0,59
Select(MoM5),1000,42500,5749,0,61
Select(MoM5),1000,40600,5708,0,59
Select(MoM5),1000,43200,5659,0,56
Select(MoM5),1000,42700,5808,0,59
Select(MoM5),1000,39600,5564,0,53
Select(MoM5),1000,38200,5722,0,55
Select(MoM5),1000,39300,5743,0,58
Select(MoM5),1000,39000,5791,0,58
Select(MoM5),1000,40900,5564,0,56
Select(MoM5),1000,40800,5698,0,58
Select(MoM5),1000,40200,5693,0,56
Select(MoM5),1000,40900,5702,0,59
Select(MoM5),1000,40200,5703,0,57
Select(MoM5),1000,41700,5727,0,56
Select(MoM5),1000,35100,5430,0,50
Select(MoM5),1000,41700,5770,0,59
Select(MoM5),1000,38500,5602,0,56
Select(MoM5),1000,41400,5763,0,60
Select(MoM5),1000,41600,5586,0,56
Select(MoM5),1000,41500,5651,0,57
Select(MoM5),1000,40400,5653,0,57
Select(MoM5),1000,39100,5761,0,56
Select(MoM5),1000,40200,5628,0,56
Select(MoM5),1000,53500,5657,0,56
Select(MoM5),1000,593400,5777,0,59
Select(MoM5),1000,44500,5545,0,55
Select(MoM5),1000,48300,5697,0,59
Select(MoM5),1000,47600,5678,0,57
Select(MoM5),1000,47400,5932,0,61
Select(MoM5),1000,47200,5711,0,58
Select(MoM5),1000,46700,5751,0,60
Select(MoM5),1000,45100,5596,0,53
Select(MoM5),1000,45400,5450,0,52
Select(MoM5),1000,49000,5607,0,55
Select(MoM5),1000,44700,5703,0,58
Select(MoM5),1000,42800,5607,0,55
Select(MoM5),1000,39500,5719,0,53
Select(MoM5),1000,43000,5754,0,59
Select(MoM5),1000,42100,5565,0,54
Select(MoM5),1000,41400,5677,0,55
Select(MoM5),1000,41900,5654,0,57
Select(MoM5),1000,44200,5782,0,59
Select(MoM5),1000,39500,5525,0,52
